Date,ReturnPercent,AvailableCash,AccountValue
1999-11-01,0.0,40000,100000.0
1999-11-02,-0.3987192230400152,47947.716974555595,60128.07769599848
1999-11-03,-0.14069704513566947,83862.49887626356,85930.29548643305
1999-11-04,-0.14035806208482202,83862.49887626356,85964.1937915178
1999-11-05,-0.1396800959831271,86031.99040168729,86031.99040168729
