Strategy,Final Value,Total Return (%)
FinGPT Original,339552.7927112926,13.184264237097532
DeepSeek Original,384407.55553848366,28.13585184616123
FinGPT Top-K,523777.4444259162,74.59248147530539
DeepSeek Top-K,545627.3385046532,81.87577950155107
Buy&Hold,542939.0781109767,80.9796927036589
